,owner,origen,weapon,platform,total,number,Status,url,primary_key,Date
1776,RU,['the Soviet Union'],Tanks,T-80BV,440,39,"['damaged', 'abandoned']",https://i.postimg.cc/kGjHZq3V/1018-2x-t80bv-1x-destr-1x-dam-aband-31-10-23.jpg,_c8576a048441b6a3c209,02/11/2023
1910,RU,['Russia'],Tanks,T-80U,98,1,['abandoned'],https://i.postimg.cc/yYRCdvZV/1500-t80u.jpg,_2cddd61772f47fa15370,21/08/2022
1911,RU,['Russia'],Tanks,T-80U,98,2,['abandoned'],https://i.postimg.cc/MGTLkhhC/655.jpg,_810c9b3b82a42c4d0eb5,24/04/2022
1912,RU,['Russia'],Tanks,T-80U,98,3,['abandoned'],https://i.postimg.cc/6pZrMGJj/5554.png,_d41677222d2050904682,01/03/2022
1913,RU,['Russia'],Tanks,T-80U,98,4,['abandoned'],https://i.postimg.cc/fT1zwVth/l2.png,_57c67f60d88bf5f7896b,01/03/2022
1914,RU,['Russia'],Tanks,T-80U,98,6,['abandoned'],https://i.postimg.cc/sf47Cvsh/76.jpg,_5c87c0c199bba1f3358e,24/04/2022
2087,RU,['Russia'],Tanks,Unknown T-80,11,1,['abandoned'],https://i.postimg.cc/65bxy8wG/8j.png,_961434fe0c4bdcd86fc3,13/05/2022
2088,RU,['Russia'],Tanks,Unknown T-80,11,2,"['damaged', 'abandoned']",https://i.postimg.cc/c1RSYb7Q/1005-16-10-23.jpg,_cd549163a48c15481e59,17/10/2023
2195,RU,['Russia'],Tanks,Unknown tank,301,15,['destroyed'],https://twitter.com/UAWeapons/status/1569621227542642691,_79a53a379e3b9b3a0cd4,13/09/2022
2245,RU,['Russia'],Tanks,Unknown tank,301,65,['destroyed'],https://twitter.com/UAWeapons/status/1545728233173286913,_dda6e8b4ceebba24cd41,09/07/2022
2259,RU,['Russia'],Tanks,Unknown tank,301,79,['destroyed'],https://twitter.com/UAWeapons/status/1554872804365025282,_24bc3113a804dea36bfe,03/08/2022
