owner;weapon;platform;;;;;;;;owner;;weapon;;platform;;Status
RU;Command Posts And Communications Stations ;Unknown communications station;;;;;;;;;;;;Unknown communications station;;
RU;Engineering Vehicles And Equipment ;UR-67 mine clearing charge on BTR-D APC;;;;;;;;;;;;UR-67 mine clearing charge on BTR-D APC;;
RU;Engineering Vehicles And Equipment ;UR-77 'Meteorit'  mine clearing vehicle;;;;;;;;;;;;UR-77 'Meteorit'  mine clearing vehicle;;
RU;Engineering Vehicles And Equipment ;GMZ-3 minelayer;;;;;;;;;;;;GMZ-3 minelayer;;
RU;Engineering Vehicles And Equipment ;RKhM-6 Povozka CBRN reconnaissance vehicle;;;;;;;;;;;;RKhM-6 Povozka CBRN reconnaissance vehicle;;
RU;Engineering Vehicles And Equipment ;BAT-2 heavy engineering vehicle;;;;;;;;;;;;BAT-2 heavy engineering vehicle;;
RU;Engineering Vehicles And Equipment ;MDK-3 trench-digging vehicle;;;;;;;;;;;;MDK-3 trench-digging vehicle;;
RU;Engineering Vehicles And Equipment ;PZM-2 trench-digging vehicle;;;;;;;;;;;;PZM-2 trench-digging vehicle;;
RU;Engineering Vehicles And Equipment ;BTS-4A armoured recovery vehicle;;;;;;;;;;;;BTS-4A armoured recovery vehicle;;
RU;Engineering Vehicles And Equipment ;BREM-1 armoured recovery vehicle;;;;;;;;;;;;BREM-1 armoured recovery vehicle;;
RU;Engineering Vehicles And Equipment ;BREM-2 armoured recovery vehicle;;;;;;;;;;;;BREM-2 armoured recovery vehicle;;
RU;Engineering Vehicles And Equipment ;BREM-Ch ''BREM-4'' armoured recovery vehicle;;;;;;;;;;;;BREM-Ch ''BREM-4'' armoured recovery vehicle;;
RU;Engineering Vehicles And Equipment ;BREM-D armoured recovery vehicle;;;;;;;;;;;;BREM-D armoured recovery vehicle;;
RU;Engineering Vehicles And Equipment ;BREM-K armoured recovery vehicle;;;;;;;;;;;;BREM-K armoured recovery vehicle;;
RU;Engineering Vehicles And Equipment ;REM-KL recovery vehicle;;;;;;;;;;;;REM-KL recovery vehicle;;
