owner;weapon;platform;;;;;;;;owner;;weapon;;platform;;Status
UA;Trucks, Vehicles, and Jeeps;ZiL-131 tanker;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;ZiL-157;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;ZiL-181;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;ZiL-4331;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;Ural-375D;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;Ural-4320;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;Ural tanker;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;KamAZ 6x6;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;KamAZ 6x6 tanker;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;MAZ-537;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;MAZ AC-8-500A Tanker;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;MAZ-5336;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;MAZ-5337 fuel tanker;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;MAZ TZ-500 tanker;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;FMTV M1083A1P2;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;Jelcz P882 D53;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;Mercedes-Benz Unimog U1300L ambulance;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;Pinzgauer Vector 718;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;Land Rover Defender;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;UAZ-469 jeep;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;UAZ-31514;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;UAZ-452 van;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;Armoured Volkswagen Amarok pickup truck;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;Bogdan-2251 ambulance pickup truck;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;Armed pickup truck;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;Peugeot P4;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;DAF YAD 4442 NT;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;Iveco Magirus 90-16 AW 4x4;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;Iveco VM90;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;Downgraded Mowag Eagle II;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;Unknown truck;;;;;;;;;;;;;;
UA;Trucks, Vehicles, and Jeeps;Unknown vehicle;;;;;;;;;;;;;;
