,owner,origen,weapon,platform,total,number,Status,url
4389,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,26,['destroyed'],https://i.postimg.cc/RZS6tgpJ/5g3.png
4390,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,27,['destroyed'],https://i.postimg.cc/GpC9Lftt/4f3.png
4391,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,28,['destroyed'],https://i.postimg.cc/6QqYyLGV/y6.png
4392,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,29,['destroyed'],https://i.postimg.cc/mD0XN4yv/2028-Ural-4320-destr-02-05-23.jpg
4393,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,30,['destroyed'],https://i.postimg.cc/prz0sS0p/2029-Ural-4320-destr-02-05-23.jpg
4394,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,31,['destroyed'],https://i.postimg.cc/gJN2VqPT/2011-ural4320-destr-04-05-23.jpg
4395,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,32,['destroyed'],https://i.postimg.cc/fybZ0Z8t/2020-Ural-4320-destr-31-03-22.jpg
4396,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,33,['destroyed'],https://i.postimg.cc/nc7mqDmk/1048-ural4320-destr-08-06-23.jpg
4397,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,34,['destroyed'],https://i.postimg.cc/FRXkJ0qT/2029-ural4320-destr-14-06-23.jpg
4398,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,35,['destroyed'],https://i.postimg.cc/wBxthXbD/1018-ural4320-destr-08-03-23.jpg
4399,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,36,['destroyed'],https://i.postimg.cc/j2jvK62T/2001-ural4320-destr-08-07-23.jpg
4400,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,37,['destroyed'],https://i.postimg.cc/3wHBWQNn/2010-ural4320-destr-07-05-22.jpg
4401,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,38,['destroyed'],https://i.postimg.cc/3RkYFPMQ/2024-Ural-4320-destr-29-04-22.jpg
4402,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,39,['destroyed'],https://i.postimg.cc/jjdsLDZ5/2025-Ural-4320-07-05-22.jpg
4403,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,40,['destroyed'],https://i.postimg.cc/kggF9J30/2001-URAL-4320-destr-26-07-23.jpg
4404,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,41,['destroyed'],https://i.postimg.cc/Pf2zCj16/549.png
4405,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,42,"['withZU-23AAgun', 'destroyed']",https://i.postimg.cc/Nf1n6LYk/433.png
4406,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,43,['destroyed'],https://i.postimg.cc/FH8fhSsM/2003-Ural-4320-destr-19-10-23.jpg
4407,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,1,['damaged'],https://i.postimg.cc/MH0p4XKm/Ukrainian-Ural-4320.png
4408,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,2,['damaged'],https://i.postimg.cc/yYNW9jJq/2013-Ural-4320-dam-15-10-23.jpg
4409,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,1,"['damaged', 'captured']",https://i.postimg.cc/GmVqtBjC/328.png
4410,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,2,['captured'],https://i.postimg.cc/FR1JZVbd/2000-ural4320-capt-25-02-22.png
4411,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,3,['captured'],https://i.postimg.cc/02n6DFYg/314.png
4412,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,4,['captured'],https://i.postimg.cc/2yMp268K/tt1.png
4413,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,5,['captured'],https://i.postimg.cc/JnpvdY9K/32.png
4414,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,6,['captured'],https://i.postimg.cc/JnpvdY9K/32.png
4415,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,7,['captured'],https://i.postimg.cc/gjmtgKPy/470.png
4416,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,8,['captured'],https://postimg.cc/dLpRmzC7
4417,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,9,['captured'],https://i.postimg.cc/jdRM3Vky/f30.png
4418,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural-4320,55,10,['captured'],https://i.postimg.cc/4y6PXBMj/Screenshot-8166.png
4419,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural tanker,16,1,['destroyed'],https://i.postimg.cc/J7FyKqtr/2022-11-13-UA-Ural-4320-tanker-destroyed.jpg
4420,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural tanker,16,2,['destroyed'],https://i.postimg.cc/fRrqJbt0/2022-02-25-UA-Ural-4320-tanker.jpg
4421,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural tanker,16,3,['destroyed'],https://i.postimg.cc/MpjY6qVZ/2022-04-14-UA-Ural-4320-destroyed.jpg
4422,UA,['the Soviet Union'],"Trucks, Vehicles, and Jeeps",Ural tanker,16,4,['destroyed'],https://i.postimg.cc/wjbtb4cc/2013-ural4320-tanker-destr-16-04-22.jpg
