indice;owner;origen;weapon;platform;total;number;Status;url;primary_key_base;primary_key_new;;owner;origen;weapon;platform;total;number;Status;url
9277;RU;['Russia'];Surface-To-Air Missile Systems ;Unknown Buk M1-2/M2/M3 TEL(AR);11;5;['destroyed'];https://i.postimg.cc/jqPsVdGC/1036-buk-destr-03-08-23.jpg;_b6744c1613c1c2398d04;_adb90b438396fe4956a6;9276;RU;['Russia'];Surface-To-Air Missile Systems ; ;11;5;['destroyed'];https://i.postimg.cc/jqPsVdGC/1036-buk-destr-03-08-23.jpg
9278;RU;['Russia'];Surface-To-Air Missile Systems ;Unknown Buk M1-2/M2/M3 TEL(AR);11;6;['destroyed'];https://twitter.com/NOELreports/status/1687173104819163136;_ab91ddd6a41b09c0ae09;_f046b2b8528311708253;9277;RU;['Russia'];Surface-To-Air Missile Systems ; ;11;6;['destroyed'];https://twitter.com/NOELreports/status/1687173104819163136
9279;RU;['Russia'];Surface-To-Air Missile Systems ;Unknown Buk M1-2/M2/M3 TEL(AR);11;7;['destroyed'];https://i.postimg.cc/T3zcQ43j/4377.png;_cf4af8eb1bea65a1cd58;_9b2834c712b788628438;9278;RU;['Russia'];Surface-To-Air Missile Systems ; ;11;7;['destroyed'];https://i.postimg.cc/T3zcQ43j/4377.png
9280;RU;['Russia'];Surface-To-Air Missile Systems ;Unknown Buk M1-2/M2/M3 TEL(AR);11;8;['destroyed'];https://i.postimg.cc/HsG5qygH/32651.png;_de959924c1c93c45fb26;_e4e7446e7684fd49a08f;9279;RU;['Russia'];Surface-To-Air Missile Systems ; ;11;8;['destroyed'];https://i.postimg.cc/HsG5qygH/32651.png
9281;RU;['Russia'];Surface-To-Air Missile Systems ;Unknown Buk M1-2/M2/M3 TEL(AR);11;9;['destroyed'];https://i.postimg.cc/2S5pFRFQ/146.png;_a0ff18bc83e8e01e2190;_cc5945ff15bde513349e;9280;RU;['Russia'];Surface-To-Air Missile Systems ; ;11;9;['destroyed'];https://i.postimg.cc/2S5pFRFQ/146.png
9282;RU;['Russia'];Surface-To-Air Missile Systems ;Unknown Buk M1-2/M2/M3 TEL(AR);11;10;['destroyed'];https://twitter.com/bayraktar_1love/status/1720542874108854650;_24fa789cf9b1a941b7ea;_975f2da0a5767141d856;9281;RU;['Russia'];Surface-To-Air Missile Systems ; ;11;10;['destroyed'];https://twitter.com/bayraktar_1love/status/1720542874108854650
9283;RU;['Russia'];Surface-To-Air Missile Systems ;Unknown Buk M1-2/M2/M3 TEL(AR);11;1;['damaged'];https://i.postimg.cc/XJdFqjft/544.png;_a4ba2b504cd7650ef4ef;_58b615af8736b9724996;9282;RU;['Russia'];Surface-To-Air Missile Systems ; ;11;1;['damaged'];https://i.postimg.cc/XJdFqjft/544.png
9284;RU;['Russia'];Surface-To-Air Missile Systems ;9A317M TELAR (for Buk-M3);3;1;['destroyed'];https://twitter.com/DefenceU/status/1703361403829285129;_d4930bb11647992e5b3a;_9fdb5fec1b741af7d48b;9283;RU;['Russia'];Surface-To-Air Missile Systems ;);3;1;['destroyed'];https://twitter.com/DefenceU/status/1703361403829285129
9285;RU;['Russia'];Surface-To-Air Missile Systems ;9A317M TELAR (for Buk-M3);3;2;['destroyed'];https://i.postimg.cc/rwfn8D4W/2500.png;_23a4f679bef42befdd27;_5ed24e744a5bcc86edbf;9284;RU;['Russia'];Surface-To-Air Missile Systems ;);3;2;['destroyed'];https://i.postimg.cc/rwfn8D4W/2500.png
9366;RU;['Russia'];Radars ;9S18 Kupol (for Buk-M1-2/M2);19;1;['destroyed'];https://i.postimg.cc/4N2GVcss/1035-9-S18-Tube-Arm-radar-variant-for-the-Buk-missile-system-destr-12-05-23.jpg;_17f38fa4894ec2a29d35;_4149f8325cf549290095;9365;RU;['Russia'];Radars ;S18 Kupol (for Buk-M1-2/M2);19;1;['destroyed'];https://i.postimg.cc/4N2GVcss/1035-9-S18-Tube-Arm-radar-variant-for-the-Buk-missile-system-destr-12-05-23.jpg
9367;RU;['Russia'];Radars ;9S18 Kupol (for Buk-M1-2/M2);19;2;['destroyed'];https://twitter.com/UAWeapons/status/1591751621360377856;_f87b4e3b6e4141257513;_c94bfabd9f4fdc007d95;9366;RU;['Russia'];Radars ;S18 Kupol (for Buk-M1-2/M2);19;2;['destroyed'];https://twitter.com/UAWeapons/status/1591751621360377856
9368;RU;['Russia'];Radars ;9S18M1(-2) (for Buk-M2);19;1;['captured'];https://i.postimg.cc/qMVp7ZP5/579.jpg;_a39252c6d07648851dd2;_015d2780c30d8a6b9bf6;9367;RU;['Russia'];Radars ;S18М1(-2) (for Buk-M2);19;1;['captured'];https://i.postimg.cc/qMVp7ZP5/579.jpg
9369;RU;['Russia'];Radars ;9S18M1(-3) (for Buk-M3);19;1;['destroyed'];https://i.postimg.cc/1R8dSsf4/54fd.png;_4081a0ffae59b07e9837;_c2c273f9f1310b534a1d;9368;RU;['Russia'];Radars ;S18М1(-3) (for Buk-M3);19;1;['destroyed'];https://i.postimg.cc/1R8dSsf4/54fd.png
9373;RU;['the Soviet Union'];Radars ;"5N63S ""Flap Lid B"" engagement and tracking radar of the S-300";15;1;['destroyed'];https://twitter.com/NOELreports/status/1720472217308270825;_be7f04fc11e0df3468dc;_1a6db09d66128dc268e6;9372;RU;['the Soviet Union'];Radars ;N63S “Flap Lid B” engagement and tracking radar of the S-300;15;1;['destroyed'];https://twitter.com/NOELreports/status/1720472217308270825
9715;RU;['Russia'];Unmanned Combat Aerial Vehicles;Eleron T-16;1;1;['captured'];https://twitter.com/UAWeapons/status/1688901561961861120;_e2f1859e8480d6b0dc15;_a7c7c479e21b3ea5ddd2;9714;RU;['Russia'];Unmanned Combat Aerial Vehicles;6;1;1;['captured'];https://twitter.com/UAWeapons/status/1688901561961861120
9959;RU;['Russia'];Reconnaissance Unmanned Aerial Vehicles;ZALA 421-16E;42;1;['destroyed'];https://i.postimg.cc/g0PSJpwZ/g2.jpg;_afa7dee90138077918c2;_7867d6783e364186c200;9958;RU;['Russia'];Reconnaissance Unmanned Aerial Vehicles;ZALA 421-16Е;42;1;['destroyed'];https://i.postimg.cc/g0PSJpwZ/g2.jpg
9960;RU;['Russia'];Reconnaissance Unmanned Aerial Vehicles;ZALA 421-16E;42;2;['destroyed'];https://i.postimg.cc/qqBxnjfW/480.png;_3bed94bc647e0d7896a9;_8a7f0b82ee63d5e773f1;9959;RU;['Russia'];Reconnaissance Unmanned Aerial Vehicles;ZALA 421-16Е;42;2;['destroyed'];https://i.postimg.cc/qqBxnjfW/480.png
9961;RU;['Russia'];Reconnaissance Unmanned Aerial Vehicles;ZALA 421-16E;42;3;['destroyed'];https://twitter.com/UAWeapons/status/1596555550741106689;_80cf7faf846458e0aede;_3c322b4c3b0aa300ccfc;9960;RU;['Russia'];Reconnaissance Unmanned Aerial Vehicles;ZALA 421-16Е;42;3;['destroyed'];https://twitter.com/UAWeapons/status/1596555550741106689
9962;RU;['Russia'];Reconnaissance Unmanned Aerial Vehicles;ZALA 421-16E;42;4;['destroyed'];https://i.postimg.cc/NFv5zBnP/1028-Zala-421-destr-09-02-23.jpg;_5f0b6ea761ea8f1271ee;_fa909f7c13c57db1e8cc;9961;RU;['Russia'];Reconnaissance Unmanned Aerial Vehicles;ZALA 421-16Е;42;4;['destroyed'];https://i.postimg.cc/NFv5zBnP/1028-Zala-421-destr-09-02-23.jpg
9963;RU;['Russia'];Reconnaissance Unmanned Aerial Vehicles;ZALA 421-16E;42;5;['destroyed'];https://i.postimg.cc/HLMrshw0/1011-ZALA-421-16-E2-destr-08-03-23.jpg;_c6cafee683c11ea246e3;_f141aca75f3450bb4b5d;9962;RU;['Russia'];Reconnaissance Unmanned Aerial Vehicles;ZALA 421-16Е;42;5;['destroyed'];https://i.postimg.cc/HLMrshw0/1011-ZALA-421-16-E2-destr-08-03-23.jpg
9964;RU;['Russia'];Reconnaissance Unmanned Aerial Vehicles;ZALA 421-16E;42;6;['destroyed'];https://i.postimg.cc/nL7SrL8F/798.png;_795cd5c8be1a83f6996b;_ee01369ef83bf9d01183;9963;RU;['Russia'];Reconnaissance Unmanned Aerial Vehicles;ZALA 421-16Е;42;6;['destroyed'];https://i.postimg.cc/nL7SrL8F/798.png
9965;RU;['Russia'];Reconnaissance Unmanned Aerial Vehicles;ZALA 421-16E;42;7;['destroyed'];https://i.postimg.cc/FFPpDTpS/1054-zala421-destr-29-04-23.jpg;_e4f0e458b8fcf1e4eea7;_88085795562c457fa651;9964;RU;['Russia'];Reconnaissance Unmanned Aerial Vehicles;ZALA 421-16Е;42;7;['destroyed'];https://i.postimg.cc/FFPpDTpS/1054-zala421-destr-29-04-23.jpg
9966;RU;['Russia'];Reconnaissance Unmanned Aerial Vehicles;ZALA 421-16E;42;8;['destroyed'];https://i.postimg.cc/NFrmRYXh/1007-ZALA-421-16-2-destr-30-01-23.jpg;_197df2aa438bc6ddcd4f;_884a922183c1a625abba;9965;RU;['Russia'];Reconnaissance Unmanned Aerial Vehicles;ZALA 421-16Е;42;8;['destroyed'];https://i.postimg.cc/NFrmRYXh/1007-ZALA-421-16-2-destr-30-01-23.jpg
9967;RU;['Russia'];Reconnaissance Unmanned Aerial Vehicles;ZALA 421-16E;42;9;['destroyed'];https://i.postimg.cc/7YVfKvnm/1019-orlan10-destr-08-02-23.jpg;_7de228fc81e8f739a802;_3170e1da7a1ad80505ab;9966;RU;['Russia'];Reconnaissance Unmanned Aerial Vehicles;ZALA 421-16Е;42;9;['destroyed'];https://i.postimg.cc/7YVfKvnm/1019-orlan10-destr-08-02-23.jpg
9968;RU;['Russia'];Reconnaissance Unmanned Aerial Vehicles;ZALA 421-16E;42;10;['destroyed'];https://i.postimg.cc/yxg3PfPB/1012-ZALA-421-16-E2-destr-15-06-23.jpg;_a347c1c9e577b28cf25b;_83e20d0e8562e63fc31a;9967;RU;['Russia'];Reconnaissance Unmanned Aerial Vehicles;ZALA 421-16Е;42;10;['destroyed'];https://i.postimg.cc/yxg3PfPB/1012-ZALA-421-16-E2-destr-15-06-23.jpg
9969;RU;['Russia'];Reconnaissance Unmanned Aerial Vehicles;ZALA 421-16E;42;11;['destroyed'];https://i.postimg.cc/DzSTG07x/1012-ZALA-421-16-2-destr-15-06-23.jpg;_69082a50a24448ef1561;_ce43982ef9865422df3d;9968;RU;['Russia'];Reconnaissance Unmanned Aerial Vehicles;ZALA 421-16Е;42;11;['destroyed'];https://i.postimg.cc/DzSTG07x/1012-ZALA-421-16-2-destr-15-06-23.jpg
9970;RU;['Russia'];Reconnaissance Unmanned Aerial Vehicles;ZALA 421-16E;42;12;['destroyed'];https://i.postimg.cc/76nwXdG6/1020-Zala-421-16-E2-destr-02-07-23.jpg;_d2703e5c926380c4c961;_d72d42d5ccaf7d82e1f3;9969;RU;['Russia'];Reconnaissance Unmanned Aerial Vehicles;ZALA 421-16Е;42;12;['destroyed'];https://i.postimg.cc/76nwXdG6/1020-Zala-421-16-E2-destr-02-07-23.jpg
9971;RU;['Russia'];Reconnaissance Unmanned Aerial Vehicles;ZALA 421-16E;42;13;['destroyed'];https://i.postimg.cc/c1nKLJwC/1013-Zala-421-16-E-destr-05-07-23.jpg;_8018f2a0c66f5ccdd875;_d8f81d104b0ff48d281d;9970;RU;['Russia'];Reconnaissance Unmanned Aerial Vehicles;ZALA 421-16Е;42;13;['destroyed'];https://i.postimg.cc/c1nKLJwC/1013-Zala-421-16-E-destr-05-07-23.jpg
